data_carga,ANO_Convenio,NR_CONVENIO,SIT_CONVENIO,COD_MUNIC_IBGE,MUNIC_PROPONENTE,UF_PROPONENTE,PROGRAMA,ACAO,MAX_VL_GLOBAL_CONV,SOMA_VALOR_AGREGADO,PERC_EXECUCAO,VALOR_A_EXECUTAR
2026-06-01 06:52:13,2020,903650,Em execução,1712702,MATEIROS,TO,Programa Calha Norte,1211,608200.0,198000.0,0.3255508056560342,410200.0
2026-06-01 06:52:13,2020,903663,Em execução,1705102,CHAPADA DA NATIVIDADE,TO,Programa Calha Norte,1211,310450.0,0.0,0.0,310450.0
2026-06-01 06:52:13,2020,903713,Prestação de Contas em Análise,1714203,NATIVIDADE,TO,Programa Calha Norte,1211,513805.0,469900.0,0.9145492939928572,43905.0
2026-06-01 06:52:13,2020,903786,Aguardando Prestação de Contas,1720655,SILVANÓPOLIS,TO,Programa Calha Norte,1211,536834.0,398000.0,0.7413837424604254,138834.0
2026-06-01 06:52:13,2020,904145,Em execução,1200807,PORTO ACRE,AC,Programa Calha Norte,1211,700800.0,450005.38,0.6421309646118721,250794.62
2026-06-01 06:52:13,2020,904162,Prestação de Contas em Análise,5107859,SÃO FÉLIX DO ARAGUAIA,MT,Programa Calha Norte,1211,1992124.0,1954389.4700000002,0.9810581419630506,37734.529999999795
2026-06-01 06:52:13,2020,904218,Prestação de Contas em Complementação,5103403,CUIABÁ,MT,Programa Calha Norte,1211,706754.0,551670.43,0.7805692362547648,155083.56999999995
2026-06-01 06:52:13,2020,904220,Em execução,5103403,CUIABÁ,MT,Programa Calha Norte,1211,2256468.0,540124.91,0.23936741402935918,1716343.0899999999
2026-06-01 06:52:13,2020,904228,Prestação de Contas em Análise,5103403,CUIABÁ,MT,Programa Calha Norte,1211,2731476.0,2501000.21,0.9156222533165219,230475.79000000004
2026-06-01 06:52:13,2020,904247,Prestação de Contas em Análise,1504901,MUANÁ,PA,Programa Calha Norte,1211,499200.0,441507.32999999996,0.8844297475961538,57692.67000000004
2026-06-01 06:52:13,2020,904248,Prestação de Contas em Análise,5107859,SÃO FÉLIX DO ARAGUAIA,MT,Programa Calha Norte,1211,999022.0,912727.11,0.9136206309770956,86294.89000000001
2026-06-01 06:52:13,2020,905208,Em execução,1600303,MACAPÁ,AP,Programa Calha Norte,1211,879760.0,436967.71,0.4966896767300173,442792.29
2026-06-01 06:52:13,2020,905209,Em execução,1600303,MACAPÁ,AP,Programa Calha Norte,1211,2390088.0,0.0,0.0,2390088.0
2026-06-01 06:52:13,2020,905212,Prestação de Contas em Análise,1600303,MACAPÁ,AP,Programa Calha Norte,1211,916987.0,780497.54,0.8511544220365175,136489.45999999996
2026-06-01 06:52:13,2020,905261,Em execução,1600303,MACAPÁ,AP,Programa Calha Norte,1211,3006100.0,2775459.77,0.9232759289444795,230640.22999999998
2026-06-01 06:52:13,2020,905262,Em execução,1600600,SANTANA,AP,Programa Calha Norte,1211,5014000.0,4020826.59,0.8019199421619465,993173.4100000001
2026-06-01 06:52:13,2020,905296,Em execução,1600501,OIAPOQUE,AP,Programa Calha Norte,1211,2020000.0,1482633.27,0.7339768663366337,537366.73
2026-06-01 06:52:13,2020,905385,Em execução,1303205,NOVO AIRÃO,AM,Programa Calha Norte,1211,3505000.0,1553386.1400000001,0.4431914807417975,1951613.8599999999
2026-06-01 06:52:13,2020,905563,Prestação de Contas em Análise,1600279,LARANJAL DO JARI,AP,Programa Calha Norte,1211,2880000.0,2427194.28,0.8427757916666666,452805.7200000002
2026-06-01 06:52:13,2020,905573,Em execução,1600238,FERREIRA GOMES,AP,Programa Calha Norte,1211,3272954.0,0.0,0.0,3272954.0
2026-06-01 06:52:13,2020,905575,Em execução,1600238,FERREIRA GOMES,AP,Programa Calha Norte,1211,1502000.0,0.0,0.0,1502000.0
2026-06-01 06:52:13,2020,905583,Prestação de Contas em Análise,1600279,LARANJAL DO JARI,AP,Programa Calha Norte,1211,3060000.0,2390269.93,0.7811339640522876,669730.0699999998
2026-06-01 06:52:13,2020,905586,Em execução,1600535,PORTO GRANDE,AP,Programa Calha Norte,1211,1501502.0,1146522.61,0.7635838047501768,354979.3899999999
2026-06-01 06:52:13,2020,905588,Em execução,1600212,CUTIAS,AP,Programa Calha Norte,1211,2615242.62,1471214.1300000001,0.5625535920640511,1144028.49
2026-06-01 06:52:13,2020,905590,Prestação de Contas em Análise,1600535,PORTO GRANDE,AP,Programa Calha Norte,1211,2586968.0,2521852.54,0.9748294296643794,65115.45999999996
2026-06-01 06:52:13,2020,905591,Em execução,1600535,PORTO GRANDE,AP,Programa Calha Norte,1211,1001001.0,536762.64,0.5362258778962259,464238.36
2026-06-01 06:52:13,2020,905599,Prestação de Contas em Análise,1600279,LARANJAL DO JARI,AP,Programa Calha Norte,1211,602544.0,578309.6,0.9597798666985315,24234.400000000023
2026-06-01 06:52:13,2020,905609,Em execução,1600204,CALÇOENE,AP,Programa Calha Norte,1211,2505000.0,436667.26,0.17431826746506987,2068332.74
2026-06-01 06:52:13,2020,905638,Em execução,1600808,VITÓRIA DO JARI,AP,Programa Calha Norte,1211,5015708.0,1493731.5599999998,0.29781070987386027,3521976.4400000004
2026-06-01 06:52:13,2020,905639,Prestação de Contas em Análise,1600808,VITÓRIA DO JARI,AP,Programa Calha Norte,1211,2020000.0,2005402.48,0.992773504950495,14597.520000000019
2026-06-01 06:52:13,2020,905640,Prestação de Contas em Análise,1600808,VITÓRIA DO JARI,AP,Programa Calha Norte,1211,4040000.0,3827135.82,0.9473108465346535,212864.18000000017
2026-06-01 06:52:13,2020,905642,Em execução,1302603,MANAUS,AM,Programa Calha Norte,1211,3720000.0,2450005.49,0.6586036263440861,1269994.5099999998
2026-06-01 06:52:13,2020,905673,Em execução,1600402,MAZAGÃO,AP,Programa Calha Norte,1211,3005000.0,1494213.57,0.497242452579035,1510786.43
2026-06-01 06:52:13,2020,905676,Prestação de Contas Iniciada Por Antecipação,1600501,OIAPOQUE,AP,Programa Calha Norte,1211,7012000.0,6950649.87,0.9912506945236738,61350.12999999989
2026-06-01 06:52:13,2020,905713,Em execução,1600501,OIAPOQUE,AP,Programa Calha Norte,1211,3015000.0,2322101.67,0.770182975124378,692898.3300000001
2026-06-01 06:52:13,2020,906057,Prestação de Contas em Análise,1304260,UARINI,AM,Programa Calha Norte,1211,384099.0,379431.22000000003,0.9878474559944181,4667.77999999997
2026-06-01 06:52:13,2021,909679,Em execução,1200203,CRUZEIRO DO SUL,AC,Programa Calha Norte,1211,501510.0,486500.99,0.9700723614683655,15009.01000000001
2026-06-01 06:52:13,2021,909713,Prestação de Contas em Análise,1200203,CRUZEIRO DO SUL,AC,Programa Calha Norte,1211,1003010.0,835116.32,0.8326101634081414,167893.68000000005
2026-06-01 06:52:13,2021,909731,Prestação de Contas em Análise,1302108,JAPURÁ,AM,Programa Calha Norte,1211,290000.0,137500.0,0.47413793103448276,152500.0
2026-06-01 06:52:13,2021,909736,Prestação de Contas em Análise,1200138,BUJARI,AC,Programa Calha Norte,1211,288300.0,230481.05,0.7994486645855011,57818.95000000001
2026-06-01 06:52:13,2021,909738,Em execução,1100205,PORTO VELHO,RO,Programa Calha Norte,1211,546087.0,14955.929999999998,0.027387449252591616,531131.07
2026-06-01 06:52:13,2021,909895,Em execução,1300839,CAAPIRANGA,AM,Programa Calha Norte,1211,709752.0,387590.03,0.5460921984016953,322161.97
2026-06-01 06:52:13,2021,909916,Prestação de Contas em Análise,1600105,AMAPÁ,AP,Programa Calha Norte,1211,384500.0,363816.62,0.9462070741222367,20683.380000000005
